Vehicle ID;Position;Speed (km/h);Data Transfer Rate (Mbps);Connection Duration (s);Traffic Density (%);Network Load (Mbps);Latency (ms);Throughput (Mbps);Signal Strength (dBm);Intrusion Detected;Anomaly Score;Encryption Status;Intrusion Type;Resource Allocation (Mbps);Optimization Status
V00000;(65.470260701944, 156.11381151486108);21.20954718;9.216063245;9;9.932835633;15.26107238;94.83015864;10.77493726;-47.53126244;0;0.04428318;No;Data Exfiltration;31.9392993;1
V00001;(10.273378627506958, 87.7815573515482);31.45655679;3.871936449;63;51.2058051;12.34588088;43.96105968;14.5070795;-76.3650656;1;0.147007434;No;None;11.53762571;0
V00002;(81.90222349092264, -177.02890040992722);98.73566593;5.024388881;117;56.99663147;17.51608769;51.6675343;9.587981707;-66.99416883;0;0.711015273;No;None;8.924648775;1
V00003;(-54.68102671946599, -158.13746723949083);69.98769246;8.016861377;104;18.83584412;64.9296983;45.68797447;14.92658529;-49.06064786;0;0.543554043;No;MITM;18.28693436;0
V00004;(-24.690577414051333, -51.02641543160826);71.01638099;5.983702199;16;4.12650244;65.84302034;37.13272327;8.221872619;-45.10267571;1;0.126926228;Yes;Data Exfiltration;24.881202;0
V00005;(30.623007178443856, 120.25617700745369);113.7596081;4.124164714;15;48.65817143;70.37493619;44.44157361;14.40924395;-57.39722367;1;0.112721329;Yes;Data Exfiltration;19.17201532;1
V00006;(19.382617160781592, 52.0858521676993);111.304877;3.506079459;119;31.62239334;11.63773367;18.27539993;16.46957142;-40.93359056;1;0.833282375;No;Data Exfiltration;41.64428221;0
V00007;(76.82914584214714, 22.978843177409743);10.76978751;1.382834927;71;22.69860105;51.66948502;17.78661148;13.75355186;-64.43165667;0;0.551573485;Yes;MITM;47.56411048;0
V00008;(74.30517673960722, -178.64632105264698);92.63993828;7.909584187;24;16.19176297;32.36804799;41.65553548;9.470791266;-60.83031405;1;0.028693365;No;None;26.06523546;1
V00009;(4.018315729920673, 72.41134205529494);60.58886616;6.900676326;33;28.61539854;0.288176131;98.37610678;11.75626085;-54.31885109;0;0.169481181;Yes;Data Exfiltration;14.21914336;1
V00010;(-2.028007010321261, -79.05617462020214);47.3287753;5.643847168;91;98.34884295;69.66190064;12.10006894;15.06953337;-68.89496841;0;0.181431735;No;DoS;15.27548726;0
V00011;(-18.399338740538553, 103.67055252738601);98.12049512;1.628595346;44;52.67959006;74.42167301;29.58246715;11.84109151;-77.25280236;1;0.094977596;No;None;46.77662786;0
V00012;(-67.51277424252984, 97.22051692169305);68.84169671;1.291297078;23;64.83988144;74.47775391;77.97513687;7.797612164;-63.06536638;0;0.702340784;No;DoS;29.14652459;0
V00013;(82.27911419459008, -9.324254283918464);40.13703938;6.82892395;21;64.82457879;94.98262608;93.29411424;12.46890981;-45.05282736;0;0.25509919;No;Data Exfiltration;34.77873826;0
V00014;(19.189665970980897, -109.02432809047312);108.3434438;8.351593542;110;47.97045383;21.98759995;68.6923377;19.30984519;-67.67972652;1;0.467824819;Yes;MITM;3.049094242;0
V00015;(-56.2659120951384, 7.720382589193463);47.24813677;2.271973964;45;57.5466208;97.57327084;98.46445478;18.14958807;-64.21540459;0;0.491809712;Yes;Data Exfiltration;7.947048838;1
V00016;(33.97600029208351, 165.76743966483536);39.11458811;1.209476291;43;99.80933484;71.11389249;77.50631776;14.26945832;-64.06782097;1;0.106637759;No;None;40.78446558;1
V00017;(-21.295859279335644, -38.4822359730189);15.20406184;8.97749496;64;45.73005468;63.92794912;22.53900797;4.679183328;-79.86938191;1;0.175240336;No;Data Exfiltration;38.56301858;1
V00018;(2.4864957162890704, 91.13709183062122);87.14918424;1.527846451;42;48.53772632;36.162529;88.96636759;19.8516764;-66.42085785;0;0.339835746;Yes;MITM;1.625210477;0
V00019;(-17.57324962387065, -40.24395554467765);77.26607497;6.874450335;12;81.48090072;14.9588324;87.97605024;18.49610043;-46.65987974;1;0.188900005;No;MITM;14.93243918;1
V00020;(-14.647064475551716, -9.509162939197608);84.82945543;4.344114799;94;81.02142813;65.79193857;34.10245295;10.19444017;-59.45015194;0;0.132450818;Yes;DoS;14.51168161;1
V00021;(-19.34615905373208, 76.74637853347264);30.86700626;3.680592048;98;88.12900513;40.12524161;34.02782488;15.55589586;-58.88588591;0;0.562105989;No;None;18.5678014;0
