Obstacle Density;Mobility (m/s);Frequency (GHz);Transmit Power (dBm);Number of Antennas;Codebook Size;Bandwidth (MHz);Interference Level (dB);SIFT Keypoints;Beamforming Gain (dB);Latency (ms);Energy Consumption (kWh/Gb);Throughput (Mbps);Beam Training Time (s);SNR Improvement (dB);Processing Time (ms);Memory Usage (MB);Environment_Outdoor;Device Type_IoT Sensor;Device Type_Smartphone;Optimized
6;2.612249704;60;34.66822754;64;32;50;-77.33662696;188;17.48864361;7.179168629;0.048494005;193.6112089;0.164451918;10.60630131;2.139873063;333;False;False;False;0
1;1.335915765;60;16.78414909;64;128;200;-57.34120939;454;14.08428491;4.74933005;0.028494224;448.9359968;0.0324954;17.6909963;2.558623659;326;True;False;True;0
9;1.544452062;150;12.46457318;256;256;100;-70.93394901;215;12.54094749;6.836743241;0.026506798;303.4892743;0.153653606;14.2672292;1.002557843;298;False;False;True;0
1;1.077700108;28;30.73285585;256;32;100;-96.05350725;451;19.31228205;3.784892239;0.020257761;862.0497914;0.028642586;16.2742459;2.866643527;443;False;True;False;1
5;1.778852554;28;27.66688834;512;64;50;-90.41643406;276;20.78486135;6.455820282;0.010402845;377.7098478;0.094914;8.210000742;2.946266734;355;False;True;False;0
4;0.490571618;100;25.43047015;256;256;200;-76.27278249;113;18.54281918;5.713826469;0.020991611;992.7041348;0.149460827;15.74734795;4.452523663;306;True;True;False;0
3;1.17324461;28;13.89952159;512;64;100;-81.92564251;356;21.07526916;1.220322392;0.014375997;134.7549451;0.042911492;8.41415868;2.794102432;493;False;True;False;0
6;2.908236967;150;21.96240291;64;128;400;-82.06364902;308;12.12281804;8.116326134;0.036392834;215.4490952;0.064276348;19.80970973;2.454225175;402;False;False;False;0
2;0.774400298;100;29.51390067;64;256;200;-73.53662759;380;23.23705292;1.10708049;0.022762999;302.1748988;0.174305728;13.39829234;4.978988205;189;False;False;False;0
3;1.970209994;100;17.59059845;64;32;100;-70.78020392;427;18.73593263;3.63840348;0.040687173;829.9954362;0.178172671;15.43458887;3.284853298;454;True;False;False;1
5;0.975570193;100;17.79224571;128;256;200;-60.15692149;424;11.9026589;1.053316589;0.018276647;890.6654882;0.018537736;6.776023762;2.890452835;331;False;False;True;0
9;2.320419377;60;10.07852265;512;64;50;-82.95167183;488;16.92887806;4.38581272;0.046009394;164.3062425;0.041937211;8.759839701;2.983743338;494;False;False;False;0
2;0.392620982;60;14.35608504;64;32;200;-59.72668585;204;22.67187607;1.568444753;0.030919261;129.2141276;0.032319669;7.096109893;4.23672519;260;False;False;False;0
8;2.909463135;28;31.88514063;512;256;100;-83.06943854;246;23.4634329;9.221598701;0.014580248;770.1011714;0.044141688;10.85256073;2.362705476;199;False;False;False;0
2;1.361368624;100;21.04366229;256;256;50;-97.22835055;378;13.96974257;4.741113656;0.026033809;220.0168061;0.194335668;9.262037963;2.556641851;205;True;True;False;0
5;0.70815139;150;34.60586248;256;256;200;-72.29061745;108;20.66898737;5.135461974;0.018270421;219.6987284;0.114814497;15.99383389;4.023493437;316;False;False;False;0
7;0.220490242;60;19.89269909;64;256;400;-70.60488376;217;11.49977871;4.148652125;0.017987417;120.129881;0.098941354;6.630634694;1.291934958;483;True;False;True;0
8;0.509273715;150;27.87966137;512;32;100;-53.27298772;193;10.50318807;6.647555388;0.03025479;144.8270898;0.197048801;16.28089053;4.460676633;198;True;True;False;0
1;1.559321846;150;17.04797607;64;64;50;-63.6969337;243;18.40598431;8.05967305;0.036875681;337.3079127;0.115821665;5.68557237;2.720810786;390;True;False;True;0
6;1.011009529;60;19.09524103;256;256;200;-54.11136738;388;20.42241369;6.833320687;0.046464728;158.5049405;0.135612406;8.03026756;3.325171902;433;False;False;False;0
1;2.486650098;60;14.76814969;64;32;400;-54.58263949;485;21.93680097;7.733864066;0.03008648;431.9911825;0.073226404;16.87947488;4.029904637;173;True;True;False;0
2;1.292662571;60;18.67655921;512;64;100;-69.77129449;113;15.10324358;9.153762972;0.048633551;849.4975281;0.082601824;16.14164962;2.06420769;351;False;False;True;0
1;0.746142818;60;23.68093801;256;256;400;-73.61189673;356;10.09788116;8.771918785;0.047665394;393.6882316;0.122937783;12.14489171;4.561256833;455;True;False;False;0
