Network Slice ID;Timestamp;Device ID;Traffic Load (bps);Traffic Type;Network Utilization (%);Latency (ms);Packet Loss Rate (%);Signal Strength (dBm);Bandwidth Utilization (%);Network Slice Failure;QoS Metric (Throughput);Overload Status;Device Type;Region;Network Failure Count;Time of Day;Weather Conditions
3;01/01/2025 0:00;194;0.683596567;3;0.802225159;0.409462195;0.717950676;0.051891694;0.98261824;0;0.17596811;0;2;0;0;1;0
4;01/01/2025 1:00;197;0.134882391;2;0.43462911;0.662868565;0.679989862;0.856419123;0.180576627;0;0.626809046;1;0;1;2;2;1
1;01/01/2025 2:00;159;0.343439784;0;0.869971526;0.46547014;0.83116748;0.928250802;0.590927835;1;0.579702914;1;2;2;3;1;1
3;01/01/2025 3:00;163;0.171059953;0;0.18055743;0.631442311;0.0414583;0.089593075;0.089476157;1;0.3396262;1;2;1;0;0;0
3;01/01/2025 4:00;187;0.943730469;1;0.948185064;0.450192334;0.022964051;0.112489151;0.73385196;0;0.516537686;0;1;2;0;1;2
4;01/01/2025 5:00;134;0.272457955;0;0.218701362;0.188850516;0.373030103;0.032046134;0.994827166;0;0.588568809;1;0;0;0;0;2
1;01/01/2025 6:00;169;0.939047462;2;0.32623407;0.508574652;0.148702592;0.103548197;0.819154561;1;0.889383578;1;0;3;3;2;1
1;01/01/2025 7:00;182;0.531333188;2;0.756541577;0.529291176;0.558497347;0.208708502;0.555633127;1;0.05455033;1;1;3;3;1;0
3;01/01/2025 8:00;129;0.309548081;0;0.393821445;0.811716246;0.917635788;0.971163773;0.484647687;1;0.823191635;0;0;0;1;1;1
2;01/01/2025 9:00;170;0.343677941;1;0.608445156;0.736525166;0.391511689;0.668232827;0.835051093;0;0.98015914;0;0;1;4;1;1
3;01/01/2025 10:00;173;0.651739212;0;0.44467949;0.664692969;0.845202166;0.779187348;0.936028299;1;0.731484752;0;2;3;2;1;1
3;01/01/2025 11:00;195;0.351184329;3;0.742708485;0.113497195;8.32E-05;0.77676802;0.989278186;1;0.737063251;1;2;1;4;1;0
3;01/01/2025 12:00;197;0.373160406;3;0.228268371;0.721599325;0.168438514;0.535132399;0.39641665;0;0.217077777;0;2;3;0;2;0
3;01/01/2025 13:00;162;0.650277998;3;0.058262446;0.500971478;0.030280467;0.798168072;0.990989696;1;0.522536736;0;0;2;0;2;1
4;01/01/2025 14:00;127;0.267062704;0;0.299922429;0.895331965;0.328148437;0.596009778;0.155724817;0;0.705619533;0;0;3;1;1;0
1;01/01/2025 15:00;159;0.181574461;0;0.474437875;0.921140411;0.908472042;0.314083339;0.253380336;1;0.601837913;0;0;2;4;0;2
4;01/01/2025 16:00;178;0.525722038;0;0.167910072;0.055182979;0.096841302;0.561230317;0.088792761;0;0.384432309;1;0;3;0;0;2
4;01/01/2025 17:00;193;0.565939361;3;0.35483317;0.821768388;0.606545928;0.533563535;0.271575037;0;0.940073921;0;1;3;4;1;1
4;01/01/2025 18:00;136;0.320397566;1;0.400054185;0.03769868;0.451556992;0.824193537;0.767936694;0;0.513439475;1;1;3;1;1;2
3;01/01/2025 19:00;192;0.878873942;2;0.05719547;0.367644555;0.938765337;0.982841918;0.852951354;1;0.969866486;1;0;3;4;2;1
2;01/01/2025 20:00;121;0.156302027;0;0.583521579;0.543026668;0.122420716;0.41080796;0.778895378;1;0.563387277;1;2;3;2;2;1
1;01/01/2025 21:00;167;0.498748008;1;0.884792848;0.148260801;0.211972815;0.763989152;0.631020063;1;0.793165831;1;2;1;1;1;1
2;01/01/2025 22:00;119;0.068542392;2;0.151620221;0.747333789;0.029398469;0.09879242;0.51388242;1;0.741744889;1;1;2;4;1;0
4;01/01/2025 23:00;195;0.062562878;2;0.598033669;0.008313812;0.433987789;0.777461622;0.708684019;0;0.660449757;1;1;2;0;0;0
4;02/01/2025 0:00;199;0.147184186;2;0.665017129;0.168788519;0.277809765;0.371088617;0.390709102;1;0.013324207;0;0;3;3;2;0
2;02/01/2025 1:00;167;0.267434407;1;0.41942096;0.581578864;0.870169821;0.038276836;0.84133154;1;0.076366806;1;0;1;3;1;0
2;02/01/2025 2:00;190;0.213842469;1;0.701403905;0.715361642;0.605076252;0.362898565;0.677159496;0;0.58101666;0;0;1;1;2;1
2;02/01/2025 3:00;163;0.905537477;3;0.410811104;0.91790794;0.614230612;0.610880073;0.697780856;0;0.911703499;1;0;0;3;1;0
4;02/01/2025 4:00;116;0.896589907;1;0.504790183;0.706457951;0.532010732;0.118325659;0.535859101;0;0.600697232;0;0;0;2;1;2
4;02/01/2025 5:00;111;0.859483089;1;0.007117594;0.672692098;0.091737043;0.925012786;0.885266568;0;0.235120739;1;2;1;1;1;2
1;02/01/2025 6:00;121;0.894438707;1;0.692019108;0.394855137;0.445076596;0.076649599;0.251844791;1;0.319442515;0;2;0;0;1;0
1;02/01/2025 7:00;116;0.623191567;2;0.66161795;0.001233369;0.999831903;0.930999134;0.381020032;0;0.622741417;0;0;2;0;0;2
4;02/01/2025 8:00;109;0.192662102;0;0.038189673;0.120279093;0.835476367;0.707602989;0.777644893;1;0.596605208;1;2;1;1;1;2
2;02/01/2025 9:00;164;0.737238584;3;0.368296493;0.535270102;0.893734359;0.329285275;0.49265785;1;0.955676809;1;0;0;3;0;0
2;02/01/2025 10:00;121;0.480851755;0;0.979555206;0.67604753;0.823467617;0.390467764;0.889252903;0;0.528555111;1;0;1;3;0;1
1;02/01/2025 11:00;189;0.550983342;0;0.420823937;0.417995493;0.102933824;0.741354448;0.34626031;0;0.354280051;1;1;0;0;1;1
4;02/01/2025 12:00;181;0.326194567;1;0.502096198;0.731676512;0.227400694;0.601686738;0.369198674;0;0.524458476;0;2;1;2;2;1
1;02/01/2025 13:00;149;0.820235085;3;0.91039956;0.522559607;0.002965344;0.67202447;0.888774522;0;0.786007932;0;2;3;3;2;0
1;02/01/2025 14:00;113;0.901419815;0;0.717580816;0.074229926;0.303499438;0.388878284;0.464269973;0;0.539847661;1;1;2;2;1;1
3;02/01/2025 15:00;163;0.555529465;0;0.582283496;0.192239385;0.108502231;0.487760391;0.516041199;1;0.325283547;1;2;0;3;1;1
3;02/01/2025 16:00;146;0.78597947;3;0.79818652;0.841152878;0.472864722;0.991001431;0.332620236;0;0.337866877;0;1;3;1;1;2
3;02/01/2025 17:00;128;0.840015447;1;0.864800086;0.725901958;0.677297921;0.213222202;0.276508079;1;0.756551054;1;2;1;4;2;1
2;02/01/2025 18:00;175;0.285883762;0;0.457003678;0.895995368;0.874771412;0.417637691;0.655911151;0;0.065372976;0;0;3;0;2;0
4;02/01/2025 19:00;135;0.76840484;2;0.4752382;0.117673343;0.749422545;0.291306704;0.1196274;1;0.27392575;1;1;2;1;1;1
4;02/01/2025 20:00;198;0.350956188;0;0.386111223;0.991593147;0.938882777;0.765714053;0.879308272;1;0.152064453;1;0;0;3;2;2
4;02/01/2025 21:00;151;0.755123708;2;0.96721988;0.209654848;0.053766598;0.76461257;0.779205972;1;0.944636521;0;0;0;0;0;2
4;02/01/2025 22:00;175;0.013255535;1;0.697469502;0.011743908;0.012027919;0.291930449;0.190558241;0;0.089046862;0;2;1;4;2;2
3;02/01/2025 23:00;106;0.98176098;0;0.083046865;0.998803903;0.661500892;0.080376293;0.693994863;0;0.757924462;1;1;2;4;2;2
2;03/01/2025 0:00;128;0.574155768;3;0.863392344;0.281425046;0.28933486;0.010253248;0.602577888;0;0.630015685;0;0;3;3;1;1
2;03/01/2025 1:00;110;0.729876871;3;0.480694033;0.668926875;0.253466086;0.427254722;0.184342992;1;0.632397323;1;0;1;0;0;2
3;03/01/2025 2:00;132;0.891093384;0;0.068566406;0.176883405;0.330889672;0.410101322;0.273040507;1;0.763180074;0;1;0;3;1;2
2;03/01/2025 3:00;105;0.247665174;1;0.549905355;0.581009749;0.269769027;0.989520332;0.408868006;0;0.399806793;1;2;3;4;2;2
3;03/01/2025 4:00;178;0.486510759;1;0.417248863;0.905281698;0.511526516;0.469706399;0.699219364;0;0.400062487;1;0;1;1;0;1
4;03/01/2025 5:00;131;0.45918172;3;0.878193675;0.320588548;0.440203999;0.255818176;0.638680204;1;0.287892715;1;2;3;1;1;0
3;03/01/2025 6:00;150;0.404805201;0;0.203912717;0.671164611;0.512519142;0.892130172;0.532156742;1;0.5973016;0;1;3;2;2;2
4;03/01/2025 7:00;174;0.312539507;1;0.82686883;0.188120811;0.672881905;0.491022553;0.768409841;0;0.929748595;0;2;1;4;0;2
4;03/01/2025 8:00;157;0.777051932;3;0.557883016;0.625640684;0.387160359;0.599385845;0.757933605;0;0.923919673;0;1;3;4;1;2
1;03/01/2025 9:00;186;0.375560892;2;0.054411757;0.33688112;0.251271694;0.094688446;0.617809111;0;0.702636369;0;2;3;3;0;1
3;03/01/2025 10:00;125;0.265758407;0;0.972363055;0.211458983;0.166123285;0.382615301;0.78699547;1;0.906101246;1;2;2;2;2;1
1;03/01/2025 11:00;197;0.814458116;2;0.512774369;0.313579369;0.349485715;0.945249703;0.334120387;1;0.963501949;0;0;2;2;1;2
3;03/01/2025 12:00;145;0.877240231;2;0.290862817;0.179045262;0.742008263;0.58969273;0.881285807;0;0.794889358;0;2;0;0;2;0
3;03/01/2025 13:00;197;0.935664301;1;0.469532224;0.903159774;0.75691392;0.344109923;0.614859076;0;0.407160816;0;0;2;3;0;2
1;03/01/2025 14:00;128;0.295017183;1;0.85828652;0.397704968;0.667070864;0.625940026;0.822380494;0;0.482641405;1;1;1;1;2;0
1;03/01/2025 15:00;103;0.764202598;1;0.30490004;0.245579009;0.233983805;0.911357173;0.546205602;0;0.931201976;0;1;3;0;0;0
3;03/01/2025 16:00;180;0.486354956;0;0.192585671;0.448999556;0.588213514;0.273431954;0.218257298;0;0.669644893;0;0;0;2;1;1
2;03/01/2025 17:00;198;0.661858646;2;0.12893085;0.320944058;0.570808496;0.505104538;0.542335358;1;0.820508568;1;2;2;1;2;1
4;03/01/2025 18:00;112;0.056152678;0;0.297850814;0.745436507;0.484343137;0.959750888;0.370980753;0;0.115097334;1;1;3;4;1;1
1;03/01/2025 19:00;138;0.12628983;1;0.780416059;0.972563207;0.550087781;0.171597291;0.697475094;1;0.192976492;1;1;1;3;1;0
4;03/01/2025 20:00;114;0.275588492;2;0.471753481;0.438610458;0.491871219;0.720159013;0.475697189;1;0.343360768;1;1;3;2;1;0
2;03/01/2025 21:00;128;0.429354261;0;0.227418059;0.862218294;0.565572664;0.614727405;0.836134291;1;0.187309053;1;0;1;4;1;0
2;03/01/2025 22:00;128;0.470097978;0;0.166073586;0.566623639;0.715694992;0.680075671;0.678042203;1;0.906380869;1;1;3;2;2;1
2;03/01/2025 23:00;174;0.964361072;3;0.332748123;0.1574088;0.109523518;0.350843582;0.684516245;1;0.215992748;1;1;0;1;2;1
1;04/01/2025 0:00;131;0.978322175;0;0.940417198;0.691562659;0.74983133;0.313415039;0.216973966;1;0.556687415;0;1;0;0;1;1
2;04/01/2025 1:00;101;0.324580889;1;0.343053401;0.514119693;0.135794203;0.684620931;0.984319802;1;0.084400994;1;1;2;1;1;2
1;04/01/2025 2:00;146;0.456511917;0;0.988654542;0.651488914;0.066502477;0.214846448;0.841698518;1;0.15399098;1;0;2;3;0;0
2;04/01/2025 3:00;177;0.031626989;2;0.485368195;0.890913499;0.976395043;0.419440502;0.789010932;0;0.246553351;1;0;3;3;1;0
4;04/01/2025 4:00;183;0.919804622;0;0.17906264;0.441014824;0.957297873;0.1874131;0.330070911;0;0.982899381;1;2;3;2;0;2
4;04/01/2025 5:00;121;0.060577497;3;0.89159482;0.902420228;0.060308022;0.007118017;0.535554661;0;0.796850483;1;1;2;1;0;0
3;04/01/2025 6:00;174;0.659863249;2;0.460473687;0.751695252;0.443310498;0.971144469;0.136895584;0;0.673196061;0;0;2;0;1;0
4;04/01/2025 7:00;126;0.567072275;2;0.709984356;0.489254427;0.186177404;0.431517222;0.538399917;0;0.916189348;0;2;3;3;2;2
3;04/01/2025 8:00;166;0.932005146;3;0.984238603;0.604036408;0.485422359;0.97043505;0.145684522;1;0.956183155;0;2;3;0;0;0
4;04/01/2025 9:00;180;0.067132371;1;0.049973341;0.325996276;0.83042187;0.139448836;0.552966557;1;0.452954368;0;1;3;4;2;1
1;04/01/2025 10:00;155;0.750678858;2;0.096528879;0.984958388;0.950914786;0.587549068;0.648681952;1;0.326922378;0;2;0;2;1;2
4;04/01/2025 11:00;191;0.443432217;1;0.720778177;0.668257625;0.634402302;0.200242749;0.390071311;1;0.314533656;0;0;1;0;1;0
3;04/01/2025 12:00;192;0.63431816;2;0.281803897;0.043856983;0.353919411;0.79073569;0.498455732;1;0.034617557;0;2;1;2;1;1
3;04/01/2025 13:00;120;0.790269629;2;0.184204131;0.327038545;0.603460221;0.784349488;0.875687833;0;0.278814328;1;2;2;4;1;0
2;04/01/2025 14:00;146;0.200629223;1;0.039151426;0.62415759;0.311994735;0.111666934;0.108346187;0;0.354311173;1;0;0;0;0;2
1;04/01/2025 15:00;179;0.349552844;2;0.02162258;0.056361358;0.910106879;0.913014445;0.791739834;1;0.035788675;1;2;3;0;0;1
4;04/01/2025 16:00;158;0.499512558;1;0.774849232;0.023865624;0.87066459;0.193883363;0.170557976;0;0.882492469;1;2;3;4;2;0
2;04/01/2025 17:00;183;0.65379693;3;0.134297218;0.450618279;0.558344546;0.613220183;0.036467476;0;0.847703391;1;2;2;1;2;2
4;04/01/2025 18:00;105;0.204446408;1;0.467844682;0.333115543;0.324798548;0.986757557;0.185382885;0;0.250643956;1;2;2;0;0;0
4;04/01/2025 19:00;118;0.751617017;3;0.606128787;0.438875791;0.293374082;0.883276381;0.765041384;0;0.80235211;0;1;0;0;1;0
2;04/01/2025 20:00;156;0.420805103;2;0.428445122;0.263018047;0.033276374;0.957619134;0.40500631;0;0.7959976;1;1;1;3;2;1
2;04/01/2025 21:00;168;0.587375691;1;0.026886628;0.164901638;0.816058519;0.34220234;0.872553935;1;0.334254329;1;0;1;1;0;0
2;04/01/2025 22:00;102;0.827185032;2;0.783872172;0.690081147;0.450443726;0.104618802;0.524626969;0;0.696736783;1;2;3;0;2;2
2;04/01/2025 23:00;100;0.904907586;1;0.010280242;0.515257946;0.325132723;0.187585734;0.022005107;0;0.28904613;0;0;2;4;0;2
2;05/01/2025 0:00;157;0.489813793;3;0.762243686;0.200389044;0.471180916;0.500471787;0.716695965;1;0.069205452;0;1;0;2;1;1
4;05/01/2025 1:00;137;0.613778813;3;0.893760912;0.319995956;0.818977072;0.793898702;0.110016499;1;0.504239726;0;2;3;4;0;1
2;05/01/2025 2:00;114;0.303299249;1;0.432936747;0.592605771;0.124516796;0.149302202;0.789385804;1;0.437690507;1;2;1;1;2;0
1;05/01/2025 3:00;133;0.267020415;3;0.535719503;0.07228028;0.857913937;0.660084918;0.167905106;1;0.137162216;1;1;1;3;0;2
3;05/01/2025 4:00;160;0.865784226;2;0.477114692;0.147612081;0.897786103;0.3231362;0.345307063;1;0.489978423;1;2;0;3;2;1
2;05/01/2025 5:00;134;0.195673561;2;0.389271372;0.073297997;0.947009034;0.340802339;0.761268388;1;0.949342179;0;2;3;3;2;0
2;05/01/2025 6:00;163;0.099479394;0;0.887876362;0.813432194;0.397522863;0.662276285;0.954291555;1;0.731102391;0;1;0;4;2;0
4;05/01/2025 7:00;124;0.833048807;3;0.89439042;0.753437972;0.217087847;0.466897116;0.371303145;1;0.738590378;1;0;3;2;1;2
2;05/01/2025 8:00;123;0.99324592;2;0.335837422;0.75434297;0.373664129;0.812746775;0.829419506;0;0.757290901;0;0;1;2;1;2
2;05/01/2025 9:00;111;0.584902868;1;0.615308889;0.717302209;0.332915662;0.155080698;0.190602258;1;0.744358673;1;2;2;0;0;0
2;05/01/2025 10:00;117;0.102220422;3;0.927390222;0.67029481;0.176081486;0.790609535;0.807191774;1;0.018771216;0;1;2;2;0;2
4;05/01/2025 11:00;114;0.09609512;2;0.962568609;0.477624722;0.607403236;0.063180664;0.657457006;0;0.924628244;0;0;1;2;2;0
2;05/01/2025 12:00;179;0.908830495;3;0.50911531;0.643148581;0.476697395;0.193306235;0.192554139;1;0.829963513;0;0;2;0;1;0
3;05/01/2025 13:00;126;0.057325656;1;0.452937238;0.038363799;0.865962841;0.656494631;0.302350564;1;0.273749673;1;2;2;4;0;2
4;05/01/2025 14:00;171;0.620143384;2;0.278670765;0.622304919;0.031967325;0.855740552;0.131561537;1;0.552241966;0;0;3;4;0;1
3;05/01/2025 15:00;159;0.697685651;0;0.959379495;0.778943057;0.644022237;0.252070595;0.382839986;1;0.614577853;1;1;0;1;1;0
4;05/01/2025 16:00;145;0.845079059;0;0.14268464;0.501024758;0.763160915;0.326758746;0.203462847;0;0.130947006;1;0;3;4;2;2
2;05/01/2025 17:00;188;0.05358526;3;0.580041191;0.357974376;0.759696928;0.537184237;0.643956477;0;0.253109319;1;1;0;3;0;0
3;05/01/2025 18:00;116;0.847408321;1;0.282529727;0.277772653;0.886345692;0.210866582;0.994578501;1;0.022124167;0;1;0;3;2;0
4;05/01/2025 19:00;192;0.123863748;2;0.278984984;0.643673221;0.729229339;0.81186767;0.011760562;0;0.863817365;0;2;2;1;1;0
1;05/01/2025 20:00;152;0.464368862;1;0.405043648;0.693744247;0.928102019;0.774259344;0.540844554;0;0.023780754;0;0;0;2;1;2
2;05/01/2025 21:00;107;0.692551927;2;0.999331733;0.872166775;0.332660042;0.144428775;0.573602071;0;0.317918155;1;2;0;1;0;2
4;05/01/2025 22:00;178;0.158099331;3;0.054768039;0.342773309;0.503295539;0.463719934;0.914255871;0;0.077185113;0;0;1;0;0;2
1;05/01/2025 23:00;126;0.558054594;2;0.578752428;0.770826007;0.013928668;0.775453282;0.505918633;0;0.781174178;0;2;0;1;1;1
4;06/01/2025 0:00;145;0.373854845;1;0.082395448;0.56210991;0.006803139;0.336920641;0.543627072;0;0.924920426;1;2;1;1;2;0
