Airbnb_ListingID;Lat;Lng;LocalizedCity;Bathrooms;Bedrooms;Beds;MaxGuests;isSuperhost;RoomType_Clean;SpaceType_Clean;PictureCount;ReviewCount;ReviewScore;StarRating;BasicNightPrice_CheckIn;BasicNightPrice_CheckOut;BasicNightPrice
1,37154E+18;28,86433461;-13,84319517;Playa Blanca;5;5;7;10;False;Entire Home;Casa particular;0;1;;;06/01/2026;13/01/2026;336,98
8,06309E+17;29,0593431;-13,5667057;Teguise;1;1;3;2;True;Entire Home;Earthen home;17;113;4,96;5;29/11/2025;04/12/2025;143,07
7,46943E+17;28,93549856;-13,6200608;Matagorda;1;1;0;3;False;Entire Home;Entire apartment;31;5;4,6;4,5;01/04/2026;08/04/2026;106,87
49913352;29,01201;-13,54157;Tahiche;2;2;3;4;False;Entire Home;Entire apartment;17;26;4,19;4;28/04/2026;05/05/2026;65,5
8,08734E+17;29,09472693;-13,47221445;Mala;1;1;2;2;True;Entire Home;Entire apartment;21;69;5;5;28/01/2026;02/02/2026;99,11
27013387;28,95147;-13,65701;Tías;1;1;2;3;False;Entire Home;Entire apartment;21;52;4,65;4,5;05/12/2025;10/12/2025;80,15
51013613;28,99549;-13,50005;Costa Teguise;1;1;2;3;False;Entire Home;Entire apartment;11;37;4,89;5;25/03/2026;30/03/2026;91,36
8,96759E+17;28,98932;-13,50272;Costa Teguise;1;1;1;2;True;Entire Home;Entire apartment;52;54;5;5;28/03/2026;04/04/2026;105,15
7,04887E+17;28,969925;-13,5478487;Arrecife;1;2;4;6;True;Entire Home;Entire apartment;28;81;4,84;5;07/12/2025;12/12/2025;86,18
1,0464E+18;28,9591;-13,56129;Arrecife;2;2;3;4;False;Entire Home;Entire apartment;21;7;5;5;02/11/2025;07/11/2025;116,35
5,39794E+17;28,95554;-13,59127;Playa Honda;1;2;2;4;True;Entire Home;Entire apartment;12;60;4,82;5;01/12/2025;06/12/2025;74,98
50586060;28,92225;-13,64456;Puerto del Carmen;1;3;4;6;True;Entire Home;Entire apartment;13;100;4,87;5;11/01/2026;16/01/2026;143,93
9,94099E+17;29,00487;-13,49058;Costa Teguise;1;2;3;5;False;Entire Home;Entire apartment;10;14;4,71;4,5;24/11/2025;29/11/2025;106,87
19100624;29,00181;-13,49055;Costa Teguise;1;2;3;4;False;Entire Home;Entire apartment;16;30;4,87;5;27/03/2026;01/04/2026;106,87
5,9408E+17;28,922588;-13,648689;Tías;1;1;1;3;False;Entire Home;Entire apartment;21;14;4,86;5;28/03/2026;02/04/2026;95,66
53303712;28,92076683;-13,66162682;Tías;1;2;3;4;True;Entire Home;Entire apartment;22;11;5;5;09/12/2025;14/12/2025;248,21
49582629;28,921963;-13,676048;Tías;1;2;3;4;True;Entire Home;Entire apartment;32;102;4,93;5;31/12/2025;05/01/2026;284,41
48955505;28,86109;-13,81293;Playa Blanca;1;2;3;4;True;Entire Home;Entire apartment;44;88;4,93;5;06/03/2026;13/03/2026;124,11
46174642;28,86229;-13,83991;Playa Blanca;1;1;1;2;True;Entire Home;Entire apartment;31;155;4,95;5;05/03/2026;10/03/2026;81,01
6,75818E+17;28,99053463;-13,63934141;Montaña Blanca;1;1;1;2;True;Entire Home;Entire bed and breakfast;22;3;4,67;4,5;02/01/2026;07/01/2026;107,73
49922544;28,990681;-13,63962;Montaña Blanca;1;2;2;4;True;Entire Home;Entire bed and breakfast;19;2;;;16/01/2026;21/01/2026;97,39
14413141;29,14058;-13,45212;Punta Mujeres;2;2;3;4;True;Entire Home;Entire bungalow;24;94;4,96;5;29/11/2025;04/12/2025;174,09
